SMILES,Title,Actividad,IC50
Fc1cc(CNC(=O)C2CCCN2S(=O)(=O)c2cc3cc(F)ccc3o2)cc(OCc2ccc(cc2)C#N)c1,BD-69,1,1.5
Cn1cnc2nc(N)n(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-70,1,1.5
Cc1ccnc2nc(N)n(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-71,1,1.5
Fc1ccc(cc1F)S(=O)(=O)N1C2CC(C2)[C@H]1C(=O)NCc1cc(ncc1Cl)-c1cnc(nc1)C(F)(F)F,BD-72,1,1.55
Fc1cc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3cc(F)ccc3o2)cc(OCc2ccccc2)c1,BD-73,1,1.6
Cc1cnn2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(F)cc3)c(=O)c12,BD-74,1,1.6
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCC1C(=O)NCc1cccc(c1)-c1ccc(nc1)C(F)(F)F,BD-75,1,1.6
FC(F)(F)c1ccc(cn1)-c1cccc(CNC(=O)C2CCCN2S(=O)(=O)c2cc3ccccc3o2)c1,BD-76,1,1.6
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cccc(OCc2ccccc2)c1,BD-77,1,1.6
Oc1ccc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3cnccc3o2)cc1-c1ccc(cn1)C(F)(F)F,BD-78,1,1.6
C[C@H]1[C@H](F)C[C@H](N1S(=O)(=O)c1ccc(F)cc1)C(=O)NCc1cc(ncc1C(F)(F)F)-c1cnc(nc1)C(F)(F)F,BD-79,1,1.6
Cc1oc2n(C)c(=O)n(C)c(=O)c2c1CC(=O)Nc1nc(cs1)-c1cc(F)c(OCC(F)(F)F)c(F)c1,BD-80,1,1.68
Cn1ncc2nc(N)n(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-81,1,1.7
FC(F)(F)c1ccc(COc2cccc(CNC(=O)C3C=CCN3S(=O)(=O)c3cc4ccccc4o3)c2)cc1,BD-82,1,1.7
Fc1ccc(CNC(=O)[C@@H]2CCCN2S(=O)(=O)c2cc3ccccc3o2)cc1-c1ccc(cc1)C(F)(F)F,BD-83,1,1.7
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3[C@H]4CC(=C[C@@H]34)c3ccccc3)c(=O)c12,BD-84,1,1.7
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3[C@H]4CC(=C[C@@H]34)c3cccc(F)c3)c(=O)c12,BD-85,1,1.7
Cn1c2c(ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c2=O)oc1=O,BD-86,1,1.8
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3[C@H]4CC(=C[C@@H]34)c3cccc(Cl)c3)c(=O)c12,BD-87,1,1.8
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Br)cc3)c(=O)c12,BD-88,1,1.8
Fc1ccc2oc(cc2c1)S(=O)(=O)N1C2CC(C2)[C@H]1C(=O)NCc1cc(ncc1C(F)(F)F)-c1cnc(nc1)C(F)(F)F,BD-89,1,1.85
FC(F)(F)c1ccc(cn1)-c1ccnc(CNC(=O)C2CCCN2S(=O)(=O)c2cc3ccccc3o2)c1,BD-90,1,1.9
Fc1ccc2oc(cc2c1)S(=O)(=O)N1[C@@H]2C[C@@H]2C[C@H]1C(=O)NCc1cc(ccn1)-c1ccc(cn1)C(F)(F)F,BD-91,1,1.9
Cn1cnc2ccn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(F)cc3)c(=O)c12,BD-92,1,1.9
C[C@@H](C(N)=O)n1cnc2n(C)c(=O)n(Cc3cc(C)on3)c(=O)c12,BD-93,1,2
C[C@@H](C(=O)Nc1cncc(n1)-c1cnc(nc1)N1CCC[C@H]1C(F)(F)F)n1cnc2n(C)c(=O)n(Cc3cc(C)on3)c(=O)c12,BD-94,1,2
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3cccc(n3)-c3cnc(cn3)N3CC4CC4C3)c2c1=O,BD-95,1,2
C[C@@H](C(=O)Nc1ccnc(n1)-c1cnc(nc1)N1CCC[C@H]1C(F)(F)F)n1cnc2n(C)c(=O)n(Cc3cc(C)on3)c(=O)c12,BD-96,1,2
C[C@@H](C(=O)Nc1cccc(n1)-c1cnc(Cl)c(c1)C(F)(F)F)n1cnc2n(C)c(=O)n(Cc3cc(C)on3)c(=O)c12,BD-97,1,2
C[C@@H](C(=O)Nc1cccc(n1)-c1cnc(c(C)c1)C(F)(F)F)n1cnc2n(C)c(=O)n(Cc3cc(C)on3)c(=O)c12,BD-98,1,2
C[C@@H](C(=O)Nc1csc(n1)-c1cnc(nc1)N1CCC[C@H]1C(F)(F)F)n1cnc2n(C)c(=O)n(CC(C)=O)c(=O)c12,BD-99,1,2
C[C@@H](C(=O)Nc1csc(n1)-c1ccc(Cl)c(Cl)c1)n1cnc2n(C)c(=O)n(CC(C)=O)c(=O)c12,BD-100,1,2
CCN(CC)c1ncc(cn1)-c1cccc(NC(=O)[C@H](C)n2cnc3n(C)c(=O)n(Cc4cc(C)on4)c(=O)c23)n1,BD-101,1,2
CCN(CC)c1ncc(cn1)-c1nc(NC(=O)[C@H](C)n2cnc3n(C)c(=O)n(Cc4cc(C)on4)c(=O)c23)cs1,BD-102,1,2
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3cnc(nc3)N3CC4C(C3)C4(F)F)c2c1=O,BD-103,1,2
C[C@@H](C(=O)Nc1csc(n1)-c1cnc(nc1)N1CC2C(C1)C2(F)F)n1cnc2n(C)c(=O)n(CC#N)c(=O)c12,BD-104,1,2
C[C@@H](C(=O)Nc1csc(n1)-c1ccc(nc1)N1CC2CC2C1)n1cnc2n(C)c(=O)n(CC(C)=O)c(=O)c12,BD-105,1,2
C[C@@H](C(=O)Nc1csc(n1)-c1ccc(nc1)N1CC2CC2C1)n1cnc2n(C)c(=O)n(CC#N)c(=O)c12,BD-106,1,2
C[C@@H](C(=O)Nc1cccc(n1)-c1ccc(nc1)N1CC2C(C1)C2(F)F)n1cnc2n(C)c(=O)n(CC#N)c(=O)c12,BD-107,1,2
OC1(CCN(CC1)C(CNC(=O)C1(CC1)c1ccc(Cl)cc1)Cc1ccc(F)cc1)C(F)(F)F,BD-108,1,2
FC(F)Oc1ccc(cc1)-c1cc(CNC(=O)C2CCCN2S(=O)(=O)c2cc3cc(F)ccc3o2)ccn1,BD-109,1,2
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3[C@H]4CC(=C[C@@H]34)c3cc(F)c(F)c(F)c3)c(=O)c12,BD-110,1,2
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3[C@H]4CC(=C[C@@H]34)c3cc(F)c(F)c(F)c3)c(=O)c12,BD-111,1,2
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)c(F)c3)c(=O)c12,BD-112,1,2
CCC(=O)Cn1c(=O)n(C)c2ncn(CC(=O)Nc3cccc(n3)-c3cnc(C)c(c3)C(F)(F)F)c2c1=O,BD-113,1,2
CCC(=O)Cn1c(=O)n(C)c2ncn(CC(=O)Nc3csc(n3)-c3cnc(C)c(c3)C(F)(F)F)c2c1=O,BD-114,1,2
CC#CCn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3cnc(nc3)N3CC4C(C3)C4(F)F)c2c1=O,BD-115,1,2
CC#CCn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3cnc(nc3)N3CC4CC4C3)c2c1=O,BD-116,1,2
C[C@@H](C(=O)Nc1cccc(n1)-c1cnc(nc1)N1CC2CC2C1)n1cnc2n(C)c(=O)n(CC#N)c(=O)c12,BD-117,1,2
C[C@@H](C(=O)Nc1csc(n1)-c1cnc(nc1)N1CC2CC2C1)n1cnc2n(C)c(=O)n(CC(C)=O)c(=O)c12,BD-118,1,2
C[C@@H](C(=O)Nc1csc(n1)-c1cnc(C)c(c1)C(F)(F)F)n1cnc2n(C)c(=O)n(Cc3noc(C)n3)c(=O)c12,BD-119,1,2
C[C@@H](C(=O)Nc1ccnc(n1)-c1cnc(C)c(c1)C(F)(F)F)n1cnc2n(C)c(=O)n(Cc3noc(C)n3)c(=O)c12,BD-120,1,2
Cn1c2ncn(CC(=O)Nc3cccc(n3)-c3cnc(nc3)N3CCC[C@H]3C(F)(F)F)c2c(=O)n(Cc2ccccn2)c1=O,BD-121,1,2
C[C@@H](C(=O)Nc1cncc(n1)-c1ccc(nc1)N1CC2C(C1)C2(F)F)n1cnc2n(C)c(=O)n(CC#N)c(=O)c12,BD-122,1,2
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3cnc(c(C)c3)C(F)(F)F)c2c1=O,BD-123,1,2
